'text','language_code','translation','translation_language_code','cefr','topic'
'dining room','en','столовая','ru','a1',
'dinner','en','ужин','ru','a1',
'dirty','en','грязный','ru','a1',
'discuss','en','обсуждать','ru','a1',
'dish','en','блюдо','ru','a1',
'do','en','делать','ru','a1',
'doctor','en','доктор','ru','a1',
'does','en','делает','ru','a1',
'dog','en','собака','ru','a1',
'doing','en','делает','ru','a1',
'doll','en','кукла','ru','a1',
'dollar','en','доллар','ru','a1',
'door','en','дверь','ru','a1',
'down','en','вниз','ru','a1',
'drama','en','драма','ru','a1',
'draw','en','рисовать','ru','a1',
'dream','en','мечтать','ru','a1',
'dress','en','одеваться','ru','a1',
'drink','en','напиток','ru','a1',
'drive','en','водить машину','ru','a1',
'driver','en','водитель','ru','a1',
'drop','en','уронить','ru','a1',
'drum','en','барабан','ru','a1',
'dry','en','сухой','ru','a1',
'due','en','должный','ru','a1',
'DVD','en','DVD','ru','a1',
'each','en','каждый','ru','a1',
'each other','en','друг друга','ru','a1',
'ear','en','ухо','ru','a1',
'early','en','рано','ru','a1',
'easy','en','легкий','ru','a1',
'eat','en','есть','ru','a1',
'egg','en','яйцо','ru','a1',
'eight','en','восемь','ru','a1',
'eighteen','en','восемнадцать','ru','a1',
'eighty','en','восемьдесят','ru','a1',
'either','en','или','ru','a1',
'elementary','en','элементарный','ru','a1',
'eleven','en','одиннадцать','ru','a1',
'else','en','еще','ru','a1',
'email','en','электронная почта','ru','a1',
'end','en','конец','ru','a1',
'engineer','en','инженер','ru','a1',
'enjoy','en','наслаждаться','ru','a1',
'evening','en','вечер','ru','a1',
'event','en','событие','ru','a1',
'every','en','каждый','ru','a1',
'everybody','en','все','ru','a1',
'everyday','en','каждый день','ru','a1',
'everyone','en','каждый','ru','a1',
'everything','en','все','ru','a1',
'everywhere','en','повсюду','ru','a1',
'example','en','пример','ru','a1',
'excellent','en','отличный','ru','a1',
'excited','en','взволнованный','ru','a1',
'exciting','en','захватывающий','ru','a1',
'excuse','en','извинение','ru','a1',
'exercise','en','упражнение','ru','a1',
'expensive','en','дорогой','ru','a1',
'eye','en','глаз','ru','a1',
'face','en','лицо','ru','a1',
'factory','en','фабрика','ru','a1',
'fair','en','справедливый','ru','a1',
'fairy','en','сказочный','ru','a1',
'false','en','ЛОЖЬ','ru','a1',
'family','en','семья','ru','a1',
'famous','en','известный','ru','a1',
'fan','en','вентилятор','ru','a1',
'farm','en','ферма','ru','a1',
'farmer','en','фермер','ru','a1',
'fast','en','быстрый','ru','a1',
'fat','en','толстый','ru','a1',
'father','en','отец','ru','a1',
'favorite','en','любимый','ru','a1',
'February','en','февраль','ru','a1',
'feed','en','кормить','ru','a1',
'feel','en','чувствовать','ru','a1',
'feeling','en','чувство','ru','a1',
'festival','en','фестиваль','ru','a1',
'fever','en','высокая температура','ru','a1',
'field','en','поле','ru','a1',
'fifteen','en','пятнадцать','ru','a1',
'fifty','en','пятьдесят','ru','a1',
'fight','en','драться','ru','a1',
'file','en','файл','ru','a1',
'fill','en','наполнять','ru','a1',
'find','en','находить','ru','a1',
'fine','en','отлично','ru','a1',
'finish','en','заканчивать','ru','a1',
'fire','en','огонь','ru','a1',
'first','en','первый','ru','a1',
'fish','en','рыба','ru','a1',
'fishing','en','рыбалка','ru','a1',
'five','en','пять','ru','a1',
'flag','en','флаг','ru','a1',
'flat','en','плоский','ru','a1',
'floor','en','пол','ru','a1',
'flower','en','цветок','ru','a1',
'fly','en','летать','ru','a1',
'focus','en','фокус','ru','a1',
'foggy','en','туманный','ru','a1',
'following','en','следующий','ru','a1',
'food','en','еда','ru','a1',
'football','en','футбол','ru','a1',
'for','en','для','ru','a1',
'foreign','en','иностранный','ru','a1',
'foreigner','en','иностранец','ru','a1',
'forget','en','забывать','ru','a1',
'form','en','форма','ru','a1',
'forty','en','сорок','ru','a1',
'four','en','четыре','ru','a1',
'fourteen','en','четырнадцать','ru','a1',
'free','en','бесплатно','ru','a1',
'Friday','en','Пятница','ru','a1',
'friend','en','друг','ru','a1',
'frog','en','лягушка','ru','a1',
'from','en','от','ru','a1',
'front','en','передний','ru','a1',
'fruit','en','фрукты','ru','a1',
'full','en','полный','ru','a1',
'fun','en','веселье','ru','a1',
'funny','en','забавный','ru','a1',
'future','en','будущее','ru','a1',
'game','en','игра','ru','a1',
'garbage','en','мусор','ru','a1',
'garden','en','сад','ru','a1',
'get','en','получать','ru','a1',
'ghost','en','призрак','ru','a1',
'gift','en','подарок','ru','a1',
'girl','en','девочка','ru','a1',
'girlfriend','en','подруга','ru','a1',
'give','en','давать','ru','a1',
'glad','en','радостный','ru','a1',
'glass','en','стекло','ru','a1',
'glasses','en','очки','ru','a1',
'go','en','идти','ru','a1',
'goal','en','цель','ru','a1',
'gold','en','золото','ru','a1',
'good','en','хороший','ru','a1',
'good afternoon','en','добрый день','ru','a1',
'good morning','en','доброе утро','ru','a1',
'good night','en','cпокойной ночи','ru','a1',
'grade','en','оценка','ru','a1',
'grammar','en','грамматика','ru','a1',
'grandfather','en','дедушка','ru','a1',
'grandma','en','бабушка','ru','a1',
'grandmother','en','бабушка','ru','a1',
'grandpa','en','дедушка','ru','a1',
'grandparent','en','дедушка и бабушка','ru','a1',
'grape','en','виноград','ru','a1',
'grass','en','трава','ru','a1',
'gray','en','серый','ru','a1',
'great','en','большой','ru','a1',
'green','en','зеленый','ru','a1',
'greet','en','приветствовать','ru','a1',
'ground','en','земля','ru','a1',
'group','en','группа','ru','a1',
'grow','en','расти','ru','a1',
'guess','en','предполагать','ru','a1',
'guest','en','гость','ru','a1',
'guitar','en','гитара','ru','a1',
'guy','en','парень','ru','a1',
'habit','en','привычка','ru','a1',
'had','en','имел','ru','a1',
'hair','en','волосы','ru','a1',
'haircut','en','стрижка','ru','a1',
'half','en','половина','ru','a1',
'hall','en','зал','ru','a1',
'hamburger','en','гамбургер','ru','a1',
'hand','en','рука','ru','a1',
'handsome','en','красивый','ru','a1',
'happen','en','случаться','ru','a1',
'happy','en','счастливый','ru','a1',
'hard','en','жесткий','ru','a1',
'has','en','имеет','ru','a1',
'hat','en','шляпа','ru','a1',
'have','en','иметь','ru','a1',
'have to','en','придется','ru','a1',
'he','en','он','ru','a1',
'head','en','голова','ru','a1',
'headache','en','головная боль','ru','a1',
'health','en','здоровье','ru','a1',
'healthy','en','здоровый','ru','a1',
'hear','en','слышать','ru','a1',
'heart','en','сердце','ru','a1',
'heavy','en','тяжелый','ru','a1',
'hello','en','привет','ru','a1',
'help','en','помощь','ru','a1',
'her','en','ее','ru','a1',
'here','en','здесь','ru','a1',
'hers','en','ее','ru','a1',
'hi','en','привет','ru','a1',
'hide','en','скрывать','ru','a1',
'high','en','высокий','ru','a1',
'hill','en','холм','ru','a1',
'him','en','ему','ru','a1',
'his','en','его','ru','a1',
'history','en','история','ru','a1',
'hobby','en','хобби','ru','a1',
'hold','en','держать','ru','a1',
'hole','en','дыра','ru','a1',
'holiday','en','праздничный день','ru','a1',
'home','en','дом','ru','a1',
'hometown','en','родной город','ru','a1',
'homework','en','домашнее задание','ru','a1',
'hope','en','надеяться','ru','a1',
'horse','en','лошадь','ru','a1',
'hospital','en','больница','ru','a1',
'hot','en','горячий','ru','a1',
'hotel','en','отель','ru','a1',
'hour','en','час','ru','a1',
'house','en','дом','ru','a1',
'how','en','как','ru','a1',
'hungry','en','голодный','ru','a1',
'hurry','en','торопиться','ru','a1',
'hurt','en','повредить','ru','a1',
'husband','en','муж','ru','a1',
'I','en','я','ru','a1',
'ice','en','лед','ru','a1',
'ice cream','en','мороженое','ru','a1',
'idea','en','идея','ru','a1',
'ideal','en','идеальный','ru','a1',
'if','en','если','ru','a1',
'imagine','en','представлять себе','ru','a1',
'important','en','важный','ru','a1',
'in','en','в','ru','a1',
'information','en','информация','ru','a1',
'inside','en','внутри','ru','a1',
'interested','en','заинтересованный','ru','a1',
'interesting','en','интересный','ru','a1',
'internet','en','интернет','ru','a1',
'interview','en','интервью','ru','a1',
'interviewer','en','интервьюер','ru','a1',
'into','en','в','ru','a1',
'introduce','en','представлять','ru','a1',
'is','en','является','ru','a1',
'island','en','остров','ru','a1',
'it','en','это','ru','a1',
'item','en','элемент','ru','a1',
'its','en','его','ru','a1',
'jacket','en','куртка','ru','a1',
'January','en','январь','ru','a1',
'jeans','en','джинсы','ru','a1',
'jet','en','реактивный самолет','ru','a1',
'jewelry','en','ювелирные изделия','ru','a1',
'job','en','работа','ru','a1',
'join','en','присоединиться','ru','a1',
'judge','en','судить','ru','a1',
'juice','en','сок','ru','a1',
'July','en','июль','ru','a1',
'jump','en','прыгать','ru','a1',
'June','en','июнь','ru','a1',
'just','en','только','ru','a1',
'keep','en','держать','ru','a1',
'key','en','ключ','ru','a1',
'kick','en','пинать','ru','a1',
'kid','en','ребенок','ru','a1',
'kill','en','убийство','ru','a1',
'kind','en','добрый','ru','a1',
'king','en','король','ru','a1',
'kiss','en','целовать','ru','a1',
'kitchen','en','кухня','ru','a1',
'kite','en','летающий змей','ru','a1',
'knee','en','колено','ru','a1',
'knife','en','нож','ru','a1',
'know','en','знать','ru','a1',
'lady','en','леди','ru','a1',
'language','en','язык','ru','a1',
'large','en','большой','ru','a1',
'last name','en','фамилия','ru','a1',
'late','en','поздно','ru','a1',
'later','en','позже','ru','a1',
'laugh','en','смех','ru','a1',
'lazy','en','ленивый','ru','a1',
'leader','en','лидер','ru','a1',
'leaf','en','лист','ru','a1',
'learn','en','учиться','ru','a1',
'leave','en','оставлять','ru','a1',
'left','en','левый','ru','a1',
'leg','en','нога','ru','a1',
'lesson','en','урок','ru','a1',
'let','en','позволять','ru','a1',
'letter','en','письмо','ru','a1',
'library','en','библиотека','ru','a1',
'life','en','жизнь','ru','a1',
'light','en','свет','ru','a1',
'like','en','нравиться','ru','a1',
'lily','en','Лили','ru','a1',
'line','en','линия','ru','a1',
'lion','en','лев','ru','a1',
'list','en','список','ru','a1',
'listen','en','слушать','ru','a1',
'little','en','маленький','ru','a1',
'live','en','жить','ru','a1',
'living','en','жизнь','ru','a1',
'living room','en','гостиная','ru','a1',
'lonely','en','одинокий','ru','a1',
'long','en','длинный','ru','a1',
'look','en','смотреть','ru','a1',
'lot','en','много','ru','a1',
'love','en','любовь','ru','a1',
'lovely','en','прекрасный','ru','a1',
'luck','en','удача','ru','a1',
'lucky','en','удачливый','ru','a1',
'lunch','en','обед','ru','a1',
'machine','en','машина','ru','a1',
'magazine','en','журнал','ru','a1',
'mail','en','почта','ru','a1',
'make','en','делать','ru','a1',
'man','en','мужчина','ru','a1',
'many','en','много','ru','a1',
'map','en','карта','ru','a1',
'march','en','маршировать','ru','a1',
'match','en','соответствовать','ru','a1',
'math','en','математика','ru','a1',
'matter','en','иметь значение','ru','a1',
'may','en','может','ru','a1',
'maybe','en','может быть','ru','a1',
'me','en','мне','ru','a1',
'meal','en','еда','ru','a1',
'mean','en','иметь в виду','ru','a1',
'meat','en','мясо','ru','a1',
'medicine','en','лекарство','ru','a1',
'meet','en','встретиться','ru','a1',
'meeting','en','встреча','ru','a1',
'memory','en','память','ru','a1',
'merry','en','веселый','ru','a1',
'message','en','сообщение','ru','a1',
'middle','en','середина','ru','a1',
'milk','en','молоко','ru','a1',
'mind','en','разум','ru','a1',
'mine','en','мой','ru','a1',
'minute','en','минута','ru','a1',
'Miss','en','Скучать','ru','a1',
'mobile','en','мобильный','ru','a1',
'mobile phone','en','мобильный телефон','ru','a1',
'mom','en','мама','ru','a1',
'moment','en','момент','ru','a1',
'mommy','en','мама','ru','a1',
'monday','en','понедельник','ru','a1',
'money','en','деньги','ru','a1',
'monkey','en','обезьяна','ru','a1',
'month','en','месяц','ru','a1',
'moon','en','луна','ru','a1',
'more','en','более','ru','a1',
'morning','en','утро','ru','a1',
'most','en','большинство','ru','a1',
'mother','en','мать','ru','a1',
'mountain','en','гора','ru','a1',
'mouse','en','мышь','ru','a1',
'mouth','en','рот','ru','a1',
'move','en','двигаться','ru','a1',
'movie','en','фильм','ru','a1',
'Mr','en','мистер','ru','a1',
'Mrs','en','миссис','ru','a1',
'much','en','много','ru','a1',
'mum','en','мама','ru','a1',
'music','en','музыка','ru','a1',
'musician','en','музыкант','ru','a1',
'must','en','должен','ru','a1',
'my','en','мой','ru','a1',
'name','en','имя','ru','a1',
'nationality','en','национальность','ru','a1',
'near','en','около','ru','a1',
'neck','en','шея','ru','a1',
'need','en','нуждаться','ru','a1',
'neighbor','en','сосед','ru','a1',
'never','en','никогда','ru','a1',
'new','en','новый','ru','a1',
'news','en','новости','ru','a1',
'newspaper','en','газета','ru','a1',
'nice','en','хороший','ru','a1',
'night','en','ночь','ru','a1',
'nine','en','девять','ru','a1',
'nineteen','en','девятнадцать','ru','a1',
'ninety','en','девяносто','ru','a1',
'no','en','нет','ru','a1',
'noise','en','шум','ru','a1',
'nose','en','нос','ru','a1',
'not','en','нет','ru','a1',
'note','en','примечание','ru','a1',
'notebook','en','блокнот','ru','a1',
'nothing','en','ничего','ru','a1',
'November','en','ноябрь','ru','a1',
'now','en','сейчас','ru','a1',
'number','en','число','ru','a1',
'nurse','en','медсестра','ru','a1',
'o\'clock','en','час','ru','a1',
'October','en','октябрь','ru','a1',
'of','en','из','ru','a1',
'off','en','выключенный','ru','a1',
'office','en','офис','ru','a1',
'officer','en','офицер','ru','a1',
'often','en','часто','ru','a1',
'old','en','старый','ru','a1',
'olympics','en','олимпийские игры','ru','a1',
'on','en','на','ru','a1',
'once','en','один раз','ru','a1',
'one','en','один','ru','a1',
'only','en','только','ru','a1',
'open','en','открыть','ru','a1',
'opera','en','опера','ru','a1',
'or','en','или','ru','a1',
'orange','en','апельсин','ru','a1',
'order','en','заказ','ru','a1',
'other','en','другой','ru','a1',
'our','en','наш','ru','a1',
'ours','en','наш','ru','a1',
'out','en','вне','ru','a1',
'outside','en','снаружи','ru','a1',
'over','en','над','ru','a1',
'own','en','собственный','ru','a1',
'owner','en','владелец','ru','a1',
'p.m.','en','вечера','ru','a1',
'page','en','страница','ru','a1',
'paint','en','краска','ru','a1',
'painting','en','рисование','ru','a1',
'pair','en','пара','ru','a1',
'palace','en','дворец','ru','a1',
'pants','en','брюки','ru','a1',
'paper','en','бумага','ru','a1',
'paragraph','en','абзац','ru','a1',
'pardon','en','прощение','ru','a1',
'parent','en','родитель','ru','a1',
'park','en','парк','ru','a1',
'partner','en','партнер','ru','a1',
'party','en','вечеринка','ru','a1',
'past','en','прошлое','ru','a1',
'pay','en','платить','ru','a1',
'peace','en','мир','ru','a1',
'pen','en','ручка','ru','a1',
'pencil','en','карандаш','ru','a1',
'people','en','люди','ru','a1',
'period','en','период','ru','a1',
'person','en','человек','ru','a1',
'personal','en','личный','ru','a1',
'pet','en','домашний питомец','ru','a1',
'phone','en','телефон','ru','a1',
'photo','en','фото','ru','a1',
'piano','en','фортепиано','ru','a1',
'pick','en','выбирать','ru','a1',
'picnic','en','пикник','ru','a1',
'picture','en','картина','ru','a1',
'piece','en','кусок','ru','a1',
'pig','en','свинья','ru','a1',
'pink','en','розовый','ru','a1',
'pizza','en','пицца','ru','a1',
'place','en','место','ru','a1',
'plan','en','план','ru','a1',
'plane','en','самолет','ru','a1',
'play','en','играть','ru','a1',
'player','en','игрок','ru','a1',
'please','en','пожалуйста','ru','a1',
'pleasure','en','удовольствие','ru','a1',
'pocket','en','карман','ru','a1',
'poem','en','стихотворение','ru','a1',
'point','en','точка','ru','a1',
'pollution','en','загрязнение','ru','a1',
'pool','en','бассейн','ru','a1',
'poor','en','бедный','ru','a1',
'pop','en','поп','ru','a1',
'post','en','почта','ru','a1',
'poster','en','плакат','ru','a1',
'potato','en','картофель','ru','a1',
'practice','en','упражняться','ru','a1',
'practice','en','практика','ru','a1',
'pray','en','молиться','ru','a1',
'present','en','подарок','ru','a1',
'pretty','en','симпатичный','ru','a1',
'price','en','цена','ru','a1',
'prince','en','принц','ru','a1',
'princess','en','принцесса','ru','a1',
'problem','en','проблема','ru','a1',
'program','en','программа','ru','a1',
'purple','en','фиолетовый','ru','a1',
'push','en','толкать','ru','a1',
'put','en','помещать','ru','a1',
'quarter','en','четверть','ru','a1',
'question','en','вопрос','ru','a1',
'quickly','en','быстро','ru','a1',
'quiet','en','тихий','ru','a1',
'rabbit','en','кролик','ru','a1',
'radio','en','радио','ru','a1',
'rain','en','дождь','ru','a1',
'rainy','en','дождливый','ru','a1',
'rat','en','крыса','ru','a1',
'read','en','читать','ru','a1',
'reader','en','читатель','ru','a1',
'reading','en','чтение','ru','a1',
'ready','en','готовый','ru','a1',
'real','en','настоящий','ru','a1',
'really','en','Действительно','ru','a1',
'reason','en','причина','ru','a1',
'red','en','красный','ru','a1',
'remember','en','помнить','ru','a1',
'repeat','en','повторить','ru','a1',
'reporter','en','репортер','ru','a1',
'restaurant','en','ресторан','ru','a1',
'result','en','результат','ru','a1',
'review','en','обзор','ru','a1',
'ribbon','en','лента','ru','a1',
'rice','en','рис','ru','a1',
'rich','en','богатый','ru','a1',
'ride','en','поездка','ru','a1',
'right','en','верно','ru','a1',
'ring','en','кольцо','ru','a1',
'river','en','река','ru','a1',
'role','en','роль','ru','a1',
'room','en','комната','ru','a1',
'rose','en','роза','ru','a1',
'row','en','ряд','ru','a1',
'rude','en','грубый','ru','a1',
'rule','en','правило','ru','a1',
'ruler','en','правитель','ru','a1',
'run','en','бегать','ru','a1',
'sad','en','грустный','ru','a1',
'sailor','en','матрос','ru','a1',
'salad','en','салат','ru','a1',
'sale','en','распродажа','ru','a1',
'same','en','такой же','ru','a1',
'sandwich','en','бутерброд','ru','a1',
'Saturday','en','Суббота','ru','a1',
'save','en','сохранять','ru','a1',
'saw','en','пила','ru','a1',
'say','en','сказать','ru','a1',
'school','en','школа','ru','a1',
'science','en','наука','ru','a1',
'scientist','en','учёный','ru','a1',
'sea','en','море','ru','a1',
'seat','en','сиденье','ru','a1',
'second','en','второй','ru','a1',
'section','en','раздел','ru','a1',
'see','en','видеть','ru','a1',
'self','en','себя','ru','a1',
'sell','en','продавать','ru','a1',
'sentence','en','предложение','ru','a1',
'september','en','сентябрь','ru','a1',
'set','en','набор','ru','a1',
'seven','en','семь','ru','a1',
'seventeen','en','семнадцать','ru','a1',
'seventy','en','семьдесят','ru','a1',
'shake','en','трясти','ru','a1',
'share','en','делиться','ru','a1',
'she','en','она','ru','a1',
'sheep','en','овца','ru','a1',
'shelf','en','полка','ru','a1',
'ship','en','корабль','ru','a1',
'shirt','en','рубашка','ru','a1',
'shoe','en','туфля','ru','a1',
'shop','en','магазин','ru','a1',
'shopping','en','шопинг','ru','a1',
'short','en','короткий','ru','a1',
'should','en','должен','ru','a1',
'shoulder','en','плечо','ru','a1',
'show','en','показывать','ru','a1',
'shower','en','душ','ru','a1',
'shy','en','застенчивый','ru','a1',
'sick','en','больной','ru','a1',
'side','en','сторона','ru','a1',
'sight','en','взгляд','ru','a1',
'sign','en','знак','ru','a1',
'sing','en','петь','ru','a1',
'singer','en','певец','ru','a1',
'sir','en','сэр','ru','a1',
'sister','en','сестра','ru','a1',
'sit','en','сидеть','ru','a1',
'site','en','сайт','ru','a1',
'six','en','шесть','ru','a1',
'sixteen','en','шестнадцать','ru','a1',
'sixty','en','шестьдесят','ru','a1',
'size','en','размер','ru','a1',
'skill','en','навык','ru','a1',
'skirt','en','юбка','ru','a1',
'sky','en','небо','ru','a1',
'sleep','en','спать','ru','a1',
'slow','en','медленный','ru','a1',
